Country Name,Country Code,Indicator Code,Indicator Name,Date,value,continent
Arab World,ARB,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,46.1017254733923,
Arab World,ARB,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,47.1416203938599,
Arab World,ARB,SP.POP.TOTL,"Population, total",1961,94724540.0,
Caribbean small states,CSS,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,7044.307,
Caribbean small states,CSS,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),1961,52.2230538922156,
Caribbean small states,CSS,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,476.90148388864,
Caribbean small states,CSS,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,64.9456642722735,
Caribbean small states,CSS,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,61.3022645477757,
Caribbean small states,CSS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,63.1261295344345,
Caribbean small states,CSS,SP.POP.TOTL,"Population, total",1961,4274052.0,
Central Europe and the Baltics,CEB,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1961,0.0915255731109763,
Central Europe and the Baltics,CEB,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,57589.9754961942,
Central Europe and the Baltics,CEB,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,70.895019171255,
Central Europe and the Baltics,CEB,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,65.7708745872179,
Central Europe and the Baltics,CEB,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,68.2621983438663,
Central Europe and the Baltics,CEB,SP.POP.TOTL,"Population, total",1961,92232738.0,
East Asia & Pacific,EAS,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1961,5.61955722451136,
East Asia & Pacific,EAS,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,213638.675801102,
East Asia & Pacific,EAS,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,148.655534286835,
East Asia & Pacific,EAS,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,50.9425125917943,
East Asia & Pacific,EAS,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,47.0871637443277,
East Asia & Pacific,EAS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,48.9276891131823,
East Asia & Pacific,EAS,SP.POP.TOTL,"Population, total",1961,1043656626.0,
Europe & Central Asia,ECS,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1961,3.52943079240833,
Europe & Central Asia,ECS,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,1233950.46538227,
Europe & Central Asia,ECS,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,70.5323179679937,
Europe & Central Asia,ECS,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,64.4087854489464,
Europe & Central Asia,ECS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,67.3885338898154,
Europe & Central Asia,ECS,SP.POP.TOTL,"Population, total",1961,674450666.0,
European Union,EUU,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1961,3.63943720445378,
European Union,EUU,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1961,43.4796596982929,
European Union,EUU,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),1961,97.3961507498602,
European Union,EUU,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,72.1617391785891,
European Union,EUU,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,66.8017715164372,
European Union,EUU,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,69.4122119297805,
European Union,EUU,SP.POP.TOTL,"Population, total",1961,359998408.0,
Latin America & Caribbean,LCN,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,210880.116354666,
Latin America & Caribbean,LCN,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),1961,11.0396666169879,
Latin America & Caribbean,LCN,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,396.456377757309,
Latin America & Caribbean,LCN,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,58.6100751289663,
Latin America & Caribbean,LCN,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,54.6011505011036,
Latin America & Caribbean,LCN,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,56.5493232743309,
Latin America & Caribbean,LCN,SP.POP.TOTL,"Population, total",1961,225912719.0,
Middle East & North Africa,MEA,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,77617.5280928185,
Middle East & North Africa,MEA,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),1961,8.89165486209482,
Middle East & North Africa,MEA,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,48.2464442549535,
Middle East & North Africa,MEA,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,46.8778913196124,
Middle East & North Africa,MEA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,47.5470280444846,
Middle East & North Africa,MEA,SP.POP.TOTL,"Population, total",1961,108061826.0,
North America,NAC,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1961,2.05245331261078,
North America,NAC,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,1417313.835,
North America,NAC,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1961,47.720656018194,
North America,NAC,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),1961,36.2171499263487,
North America,NAC,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,2991.59289655406,
North America,NAC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,73.6755342013672,
North America,NAC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,67.2188039730148,
North America,NAC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,70.3680173824054,
North America,NAC,SP.POP.TOTL,"Population, total",1961,202007500.0,
South Asia,SAS,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,37340.803530583,
South Asia,SAS,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),1961,2.37901503106681,
South Asia,SAS,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,86.0460827573224,
South Asia,SAS,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,42.0270411725936,
South Asia,SAS,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,43.4270448575977,
South Asia,SAS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,42.7424787115659,
South Asia,SAS,SP.POP.TOTL,"Population, total",1961,584939711.0,
Sub-Saharan Africa,SSF,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,28270.9374383031,
Sub-Saharan Africa,SSF,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,139.415203467847,
Sub-Saharan Africa,SSF,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,42.2701661162075,
Sub-Saharan Africa,SSF,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,39.4311296964086,
Sub-Saharan Africa,SSF,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,40.8247097914696,
Sub-Saharan Africa,SSF,SP.POP.TOTL,"Population, total",1961,232567007.0,
Africa Eastern and Southern,AFE,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1962,22561.0374006224,
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,GDP per capita (current US$),1962,172.271022217071,
Africa Eastern and Southern,AFE,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,45.2055846613132,
Africa Eastern and Southern,AFE,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,42.0490272541985,
Africa Eastern and Southern,AFE,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,43.6039902540244,
Africa Eastern and Southern,AFE,SP.POP.TOTL,"Population, total",1962,137614644.0,
Africa Western and Central,AFW,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1962,7623.693,
Africa Western and Central,AFW,NY.GDP.PCAP.CD,GDP per capita (current US$),1962,118.829460649335,
